CustomerID,CustomerName,Email,Gender,Age,GeographyID
1,Patricia Smith,patricia.smith1@example.com,Non-Binary,35,4
2,Linda Jones,linda.jones2@example.com,Non-Binary,24,9
3,John Jackson,john.jackson3@example.com,Female,20,1
4,John Miller,john.miller4@example.com,Male,50,10
5,James Moore,james.moore5@example.com,Male,63,9
6,Susan Davis,susan.davis6@example.com,Female,55,5
7,James Garcia,james.garcia7@example.com,Non-Binary,45,6
8,William Jones,william.jones8@example.com,Male,66,6
9,Patricia Williams,patricia.williams9@example.com,Female,24,6
10,Barbara Martin,barbara.martin10@example.com,Female,69,1
11,Joseph Moore,joseph.moore11@example.com,Male,42,2
12,Sarah Martinez,sarah.martinez12@example.com,Non-Binary,57,6
13,Charles Miller,charles.miller13@example.com,Non-Binary,22,1
14,Linda Martinez,linda.martinez14@example.com,Male,32,2
15,Richard Rodriguez,richard.rodriguez15@example.com,Female,58,6
16,Jennifer Lopez,jennifer.lopez16@example.com,Female,31,5
17,John Martin,john.martin17@example.com,Non-Binary,28,9
18,Linda Garcia,linda.garcia18@example.com,Female,42,5
19,Sarah Davis,sarah.davis19@example.com,Non-Binary,38,1
20,Linda Johnson,linda.johnson20@example.com,Female,43,5
21,John Miller,john.miller21@example.com,Non-Binary,63,6
22,Michael Thomas,michael.thomas22@example.com,Female,59,8
23,Robert Rodriguez,robert.rodriguez23@example.com,Male,33,9
24,Sarah Rodriguez,sarah.rodriguez24@example.com,Non-Binary,55,7
25,Charles Gonzalez,charles.gonzalez25@example.com,Female,32,3
26,Thomas Thomas,thomas.thomas26@example.com,Male,66,1
27,Patricia Jones,patricia.jones27@example.com,Non-Binary,28,7
28,Karen Williams,karen.williams28@example.com,Female,42,10
29,Joseph Taylor,joseph.taylor29@example.com,Female,53,1
30,Patricia Moore,patricia.moore30@example.com,Female,67,6
31,Patricia Martinez,patricia.martinez31@example.com,Female,28,8
32,James Rodriguez,james.rodriguez32@example.com,Non-Binary,66,3
